Feedback,Sentiment
 Kee u the great work..!,1
Satisfactory.,1
It was really a fantastic beginning. Loved learning comuter language. Without the hel of such an exerienced and knowledgeable instructor this course would have been difficult to understand and time consuming.,1
.,0
In lab the checking has to be done two times.so that if a student commits a mistake he can rectify it by next checking.,0
Sir taught good & course is imortant for those eole which branch related to this but sometimes sir doesn't care about the beginners.,1
I have learnt enough about this c language because of your teaching style.,1
The syllabus must be little different.,0
The course content was good and the instructor sir made us understand well. But the ace of the class was little high and a toic should be dealt in more detail in my oinion for better hold over that toic for all students.,1
It was very nice learning from you. You made sure that each and every toic was clear to us .,1
"Overall the course is definitely a good one. Because of the introduction of the course, I'm interested in learning more about C rogramming language. Thank you.",1
"sir,You can give some more time on some imortant toic like ointer,file management, structure,string.",0
Toics included are very useful and the way toics are discussed/taught in the class and lab are really good.But I request to teach little slower and to include simle assignments for students .,1
The course is so fast 😭,0
More detailed teaching and daily basis assessment would be helful,0
It is useful to us,1
"It would have been better if there were more classes regarding the toics like structure, array ,ointer and recursion for the beginners..",0
"Felt like the teacher genuinely cared for the students' course knowledge, only that we could have been better students.",1
"Sir, it'll be more helful if you teach us slightly more slowly, because there are many beginners,and more detailing is needed..",0
"When considered as a course for novices to comuter I believe the instructor could have gone a bit more systematically about the curriculum . Very basic toics such as use and imortance , ros and cons of very rimitive statement such as I/O statements could have been exlain, also the concet of iteration should have been exlained in a more comrehensive way with more examles as it is one of the most imortant toics , also the concet if nested iteration was not covered uto the mark which is again very imortant toic . However when it comes to the efforts l and dedication of the mentor I believe he did everything he could to hel us learn the lesson and aid attention to every query asked by the students , also every ossible way to make the class more interactive was tried, so kudos to sir's sirit.",1
Enjoyed learning C.It was a good exerience,1
"Sir, you are good at teaching and slight back in concentration uon beginners.. We understanding concets but it is difficult to aly on rogram.. So hel to rectify these tye of roblems. Thank u sir.",0
"The way of teaching is very communicative, well structured and well delivered. As far as my exerience goes, I have never felt so intuitive after taking a class. The way you aroach is very good. The only drawback from my oint of view is that you focus more on some toics and give less effort on some like strings. Besides, I areciate the fact that you don't just reach out from exams oint of view. Also, let us enjoy more exciting roblems like Tower of Hanoi. Thank you for being such a great teacher.",0
Actually in my hs course I don't hv cs subject... that's y it is my beginning of this course.. I learnt a lot from the instructor.. his knowledge about this course is extremely good..bt he was too fast while teaching... that's it.,1
Theory sessions we're excellent... But in lab sessions instructor should focus on how to hel the beginners to exress the logic in seudo codes more recisely for the beginners before ractical assignments.,0
Going out of toic for some students disturbs our Concentration towards class (beginners so we can't understand),0
The teacher teaches really good . Just a bit fast coverage of toics . Would love to learn from him.,1
Overall good,1
Instructor is very dedicated in teaching so that any one can learn c. At 1st i don't even know what is coding (even rintf statement).i use to feel very inferior seeing remaining students doing so well in c.and when sir mentioned no one is suerior or inferior I'm very much encouraged to learn and after the end of the course now.I'm very confident that I learned all the basics in c .and i thank the instructor for his hard work.,1
Sir's effort was awesome. And we all secially I learn many things from sir.,1
Good,1
Course is good,1
That's was good,1
Sir you should care the beginner more and you should give assignment in ractical related to last theory class,1
Sir you should give related assignments in the lab which you have taught in the last theory class,0
"I think it would be more good if the instructor used a system to run rograms during exlanation so that it would be very helful to clarify many doubts then and there. We had many doubts only about syntax. This would even motivate students to learn things faster and easier. As many student had a myth of studying books rather than racticing on a comiler, this would be intriguing. It would be even better if we could get gcc in class.",0
It is good,1
"This course would be more better if the toics were taught ractically during class time. Overall, it was a helful course for all the beginners in C rogramming.",0
Teaching style is exelante and have a suortive nature.,1
"The ace of course was good at the beginning but as the toics rogressed the ace became fast . The toics at the mid and end of the course should have been given more time . In ractical sessions, the learning exerience would have been better if instructor gave some instructions about the roblems we are going to deal , rather then simly giving roblems to do on your own.",0
1. Starting months were a bit boring for those who were already exerienced in rogramming. A little different lans could have been made for them. 2. The main interaction in the class were from the students who were already exerienced in rogramming and the students new to this are still not engaged in the class. 3. It would be great if we would have been taught C++ instead of C. As nowadays C++ is used in most of the laces instead of C and also for the ease of understanding and better coding exerience.,0
"Sir, your teaching is really good.",1
Good but can be imroved better😁😁,1
"The course structure is nice, and taking the time constraints into consideration the teaching aroach and ace was good! Overall the course throughout the semester was u to the mark!",1
I could say that the instructor could slow down his ace so that students could understand the teachings better.,0
Nil,0
instructor does not know how to teach in a systematic way.,0
Awesome exerience,1
The course is really usuful for the beginners and our instructor was extremely good in addressing student's query and also solve them.,1
"Course is vast for the beginners, but the instructor is very active to his work and encourages everyone to be assionate to this subject. Overall, Sir is excellent!",1
Some extra care should be taken for the students who were not introduced to this course rior to this semester,0
Course is very imortant. The instructor behaviour is very good and teaching rocess is awesome,1
Instructor is good but there is a default in me,1
Good amount of outut based questions is discussed in ractical classes which must be made same for theory classes also,0
Sir is just awesome,1
The course was extremely useful and the Instructor was excellent,1
Both course and instructor are good but in,1
"The instructor has done an extremely good job in making us familiar with the coding world. I ersonally wasn't interested in coding, however now I want to learn more in this field. Thanks to our rofessor.",1
Our instructor focused a lot on the basics of every toic which was indeed very helful. The course should focus more on ractical alications of cometitive rogramming rather than theoretical questions,1
Nothing much,0
It was a comlete course for beginners.,1
"The course is great, but it's difficult to gras everything in such a limited amount of time.",0
"I appreciate the kind of questions given to us in labs since it helps us prepare for our interviews .But I would have preferred if we were given more idea on recursion (more practice on writing recursive codes since it is difficult). If emphasis on recursion is given then most of the data structures would become easier for the students. Also a genuine request that the markings for our lab to be done nicely because as compared to other sections , we get difficult questions and therefore aren't able to score so well . We on the other hand , will suffer while sitting for our internships because marks do matter for that cause . Thank you . I hope that you take this request into consideration .",0
